ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	30	0	0	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
2	9	2	2	0.000000	5886.777778	5886.777778	0.000000	0.000000	0	0	0
3	36	0	1	0.000000	402.944444	138.583333	0.000000	0.000000	0	0	0
4	65	0	0	0.000000	6.138462	6.138462	0.000000	0.000000	0	0	0
5	50	0	0	0.000000	6.580000	6.580000	0.000000	0.000000	0	0	0
6	133	0	0	0.000000	6.428571	6.428571	0.000000	0.000000	0	0	0
7	29	1	0	0.000000	32.241379	32.241379	0.000000	0.000000	0	0	0
8	39	0	0	0.000000	5.128205	5.128205	0.000000	0.000000	0	0	0
9	41	0	0	0.000000	6.073171	6.073171	0.000000	0.000000	0	0	0
10	88	0	0	0.000000	11.534091	11.534091	0.000000	0.000000	0	0	0
11	39	2	0	0.000000	8.538462	8.538462	0.000000	0.000000	0	0	0
12	43	0	0	0.000000	16.906977	15.325581	0.000000	0.000000	0	0	0
13	48	0	0	0.000000	5.854167	5.854167	0.000000	0.000000	0	0	0
14	52	0	1	0.000000	44.942308	44.942308	0.000000	0.000000	0	0	0
15	168	0	0	0.000000	7.880952	7.880952	0.000000	0.000000	0	0	0
16	63	0	0	0.000000	8.571429	8.571429	0.000000	0.000000	0	0	0
17	102	0	0	0.000000	9.715686	9.715686	0.000000	0.000000	0	0	0
18	41	0	0	0.000000	6.487805	6.487805	0.000000	0.000000	0	0	0
19	154	0	0	0.000000	5.792208	5.792208	0.000000	0.000000	0	0	0
20	177	0	0	0.000000	6.576271	6.576271	0.000000	0.000000	0	0	0
21	81	1	0	0.000000	7.308642	7.308642	0.000000	0.000000	0	0	0
22	71	0	0	0.000000	9.183099	9.183099	0.000000	0.000000	0	0	0
23	34	0	0	0.000000	5.029412	5.029412	0.000000	0.000000	0	0	0
24	33	0	0	0.000000	5.181818	5.181818	0.000000	0.000000	0	0	0
25	68	0	0	0.000000	6.029412	6.029412	0.000000	0.000000	0	0	0
26	57	0	0	0.000000	13.842105	13.842105	0.000000	0.000000	0	0	0
27	135	0	0	0.000000	6.562963	6.562963	0.000000	0.000000	0	0	0
28	141	0	0	0.000000	6.822695	6.822695	0.000000	0.000000	0	0	0
29	27	0	0	0.000000	7.481481	7.481481	0.000000	0.000000	0	0	0
30	94	0	0	0.000000	6.627660	6.627660	0.000000	0.000000	0	0	0
31	67	0	0	0.000000	10.970149	10.970149	0.000000	0.000000	0	0	0
32	98	0	0	0.000000	7.693878	7.693878	0.000000	0.000000	0	0	0
33	41	0	0	0.000000	5.731707	5.731707	0.000000	0.000000	0	0	0
34	222	0	0	0.000000	8.004505	8.004505	0.000000	0.000000	0	0	0
35	52	0	0	0.000000	8.653846	8.653846	0.000000	0.000000	0	0	0
36	75	0	0	0.000000	9.413333	9.413333	0.000000	0.000000	0	0	0
37	60	1	0	0.000000	7.333333	7.333333	0.000000	0.000000	0	0	0
38	53	0	0	0.000000	5.566038	5.566038	0.000000	0.000000	0	0	0
39	57	0	0	0.000000	9.596491	9.596491	0.000000	0.000000	0	0	0
40	75	0	0	0.000000	11.920000	11.920000	0.000000	0.000000	0	0	0
41	169	0	0	0.000000	6.976331	6.976331	0.000000	0.000000	0	0	0
42	114	1	0	0.000000	7.543860	7.543860	0.000000	0.000000	0	0	0
43	39	0	0	0.000000	19.564103	19.564103	0.000000	0.000000	0	0	0
44	64	0	0	0.000000	7.875000	7.875000	0.000000	0.000000	0	0	0
45	61	0	0	0.000000	5.524590	5.524590	0.000000	0.000000	0	0	0
46	34	0	1	0.000000	22.911765	22.911765	0.000000	0.000000	0	0	0
47	37	0	0	0.000000	29.972973	29.864865	0.000000	0.000000	0	0	0
48	37	0	0	0.000000	6.459459	5.405405	0.000000	0.000000	0	0	0
49	105	0	0	0.000000	5.961905	5.961905	0.000000	0.000000	0	0	0
50	47	0	0	0.000000	8.872340	8.872340	0.000000	0.000000	0	0	0
51	69	0	0	0.000000	5.391304	5.391304	0.000000	0.000000	0	0	0
52	45	0	0	0.000000	7.733333	7.733333	0.000000	0.000000	0	0	0
53	44	0	0	0.000000	7.977273	7.977273	0.000000	0.000000	0	0	0
54	46	0	0	0.000000	6.739130	6.739130	0.000000	0.000000	0	0	0
55	49	0	0	0.000000	5.836735	5.836735	0.000000	0.000000	0	0	0
56	40	0	0	0.000000	7.500000	7.500000	0.000000	0.000000	0	0	0
57	65	1	0	0.000000	11.969231	11.969231	0.000000	0.000000	0	0	0
58	65	0	0	0.000000	5.261538	5.261538	0.000000	0.000000	0	0	0
59	38	0	0	0.000000	7.710526	7.710526	0.000000	0.000000	0	0	0
60	37	0	0	0.000000	10.783784	10.783784	0.000000	0.000000	0	0	0
61	74	0	0	0.000000	5.202703	5.202703	0.000000	0.000000	0	0	0
62	51	0	0	0.000000	9.117647	9.117647	0.000000	0.000000	0	0	0
63	49	0	0	0.000000	7.510204	7.510204	0.000000	0.000000	0	0	0
64	22	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
65	44	0	0	0.000000	7.181818	7.181818	0.000000	0.000000	0	0	0
66	48	0	0	0.000000	19.520833	19.520833	0.000000	0.000000	0	0	0
67	88	0	0	0.000000	5.795455	5.795455	0.000000	0.000000	0	0	0
68	69	0	0	0.000000	7.869565	7.869565	0.000000	0.000000	0	0	0
69	43	0	1	0.000000	5.069767	5.069767	0.000000	0.000000	0	0	0
70	81	0	0	0.000000	6.172840	6.172840	0.000000	0.000000	0	0	0
71	82	0	0	0.000000	6.560976	6.560976	0.000000	0.000000	0	0	0
72	47	0	0	0.000000	6.191489	6.191489	0.000000	0.000000	0	0	0
73	109	0	0	0.000000	8.880734	8.880734	0.000000	0.000000	0	0	0
74	34	0	0	0.000000	8.411765	8.411765	0.000000	0.000000	0	0	0
75	80	1	0	0.000000	8.912500	8.912500	0.000000	0.000000	0	0	0
76	54	0	0	0.000000	5.666667	5.666667	0.000000	0.000000	0	0	0
77	35	0	0	0.000000	8.171429	8.171429	0.000000	0.000000	0	0	0
78	68	0	0	0.000000	6.676471	6.676471	0.000000	0.000000	0	0	0
79	32	0	0	0.000000	10.093750	10.093750	0.000000	0.000000	0	0	0
80	37	0	0	0.000000	5.297297	5.297297	0.000000	0.000000	0	0	0
81	37	0	0	0.000000	12.513514	12.513514	0.000000	0.000000	0	0	0
82	66	0	0	0.000000	6.060606	6.060606	0.000000	0.000000	0	0	0
83	46	0	1	0.000000	7.347826	7.173913	0.000000	0.000000	0	0	0
84	59	1	0	0.000000	6.491525	6.491525	0.000000	0.000000	0	0	0
85	41	0	0	0.000000	7.951220	7.951220	0.000000	0.000000	0	0	0
86	37	0	0	0.000000	8.459459	8.459459	0.000000	0.000000	0	0	0
87	47	0	0	0.000000	5.595745	5.595745	0.000000	0.000000	0	0	0
88	42	0	0	0.000000	6.047619	3.976190	0.000000	0.000000	0	0	0
89	50	1	0	0.000000	5.360000	5.360000	0.000000	0.000000	0	0	0
90	110	0	0	0.000000	5.527273	5.527273	0.000000	0.000000	0	0	0
91	40	0	0	0.000000	7.050000	7.050000	0.000000	0.000000	0	0	0
92	124	0	0	0.000000	5.403226	5.403226	0.000000	0.000000	0	0	0
93	58	0	0	0.000000	5.310345	5.310345	0.000000	0.000000	0	0	0
94	51	0	0	0.000000	6.235294	6.235294	0.000000	0.000000	0	0	0
95	71	2	0	0.000000	5.253521	5.253521	0.000000	0.000000	0	0	0
96	45	0	0	0.000000	5.155556	5.155556	0.000000	0.000000	0	0	0
97	1	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
98	1	2	1	0.000000	32.000000	4.000000	0.000000	0.000000	0	0	0
99	34	0	0	0.000000	8.470588	8.470588	0.000000	0.000000	0	0	0
100	37	0	0	0.000000	8.945946	8.945946	0.000000	0.000000	0	0	0
101	44	0	0	0.000000	6.318182	6.318182	0.000000	0.000000	0	0	0
102	35	0	0	0.000000	5.971429	5.971429	0.000000	0.000000	0	0	0
103	44	0	0	0.000000	5.431818	5.431818	0.000000	0.000000	0	0	0
104	33	0	0	0.000000	6.060606	6.060606	0.000000	0.000000	0	0	0
105	39	0	0	0.000000	5.717949	5.717949	0.000000	0.000000	0	0	0
106	27	0	0	0.000000	8.592593	8.592593	0.000000	0.000000	0	0	0
107	1	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
108	28	0	0	0.000000	6.750000	6.750000	0.000000	0.000000	0	0	0
109	39	0	0	0.000000	5.461538	5.461538	0.000000	0.000000	0	0	0
110	27	0	0	0.000000	5.296296	5.296296	0.000000	0.000000	0	0	0
111	1	1	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
